t,phi,theta,phi_cmd,theta_cmd
2.748000,0.000001,-0.000132,0.000000,0.000000
2.756000,0.000001,-0.000132,0.000000,0.000000
2.764000,-0.000041,-0.000095,0.000000,0.000000
2.772000,-0.000041,-0.000095,0.000000,0.000000
2.780000,-0.000041,-0.000095,0.000000,0.000000
2.792000,-0.000036,-0.000077,0.000000,0.000000
2.800000,-0.000036,-0.000077,0.000000,0.000000
2.808000,-0.000092,-0.000064,0.000000,0.000000
2.816000,-0.000092,-0.000064,0.000000,0.000000
2.824000,-0.000098,-0.000078,0.000000,0.000000
2.832000,-0.000098,-0.000078,0.000000,0.000000
2.840000,-0.000098,-0.000078,0.000000,0.000000
2.848000,-0.000059,-0.000080,0.000000,0.000000
2.856000,-0.000059,-0.000080,0.000000,0.000000
2.864000,-0.000028,-0.000034,0.000000,0.000000
2.872000,-0.000028,-0.000034,0.000000,0.000000
2.880000,-0.000028,-0.000034,0.000000,0.000000
2.892000,-0.000063,-0.000071,0.000000,0.000000
2.900000,-0.000063,-0.000071,0.000000,0.000000
2.908000,-0.000063,-0.000071,0.000000,0.000000
2.916000,-0.000063,-0.000071,0.000000,0.000000
2.924000,-0.000026,-0.000039,0.000000,0.000000
2.932000,-0.000026,-0.000039,0.000000,0.000000
2.940000,-0.000026,-0.000039,0.000000,0.000000
2.948000,-0.000020,-0.000012,0.000000,0.000000
2.956000,-0.000020,-0.000012,0.000000,0.000000
2.964000,-0.000059,-0.000007,0.000000,0.000000
2.972000,-0.000059,-0.000007,0.000000,0.000000
2.980000,-0.000059,-0.000007,0.000000,0.000000
2.992000,-0.000030,-0.000048,0.000000,0.000000
3.000000,-0.000030,-0.000048,0.000000,0.000000
3.008000,-0.000031,-0.000104,0.000000,0.000000
3.016000,-0.000031,-0.000104,0.000000,0.000000
3.024000,-0.000053,-0.000121,0.000000,0.000000
3.032000,-0.000053,-0.000121,0.000000,0.000000
3.040000,-0.000053,-0.000121,0.000000,0.000000
3.048000,-0.000075,-0.000117,0.000000,0.000000
3.056000,-0.000075,-0.000117,0.000000,0.000000
3.064000,-0.000088,-0.000106,0.000000,0.000000
